Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-03-27 04:00:00-04:00,152.06,152.26,151.81,152.17,0,0.0,0.0
2024-03-27 05:00:00-04:00,152.22,152.51,152.18,152.3,0,0.0,0.0
2024-03-27 06:00:00-04:00,152.33,152.41,151.96,152.28,0,0.0,0.0
2024-03-27 07:00:00-04:00,152.25,152.74,152.25,152.66,0,0.0,0.0
2024-03-27 08:00:00-04:00,152.66,152.74,151.16,152.4,0,0.0,0.0
2024-03-27 09:00:00-04:00,152.43,152.64,152.06,152.09,0,0.0,0.0
2024-03-27 09:30:00-04:00,152.0500030517578,152.60009765625,150.84500122070312,150.9199981689453,3570426,0.0,0.0
2024-03-27 10:30:00-04:00,150.91000366210938,151.31500244140625,150.13999938964844,150.1999969482422,2204661,0.0,0.0
2024-03-27 11:30:00-04:00,150.17999267578125,150.9250030517578,150.13999938964844,150.83999633789062,1401228,0.0,0.0
2024-03-27 12:30:00-04:00,150.83999633789062,151.80999755859375,150.4499969482422,150.6999969482422,2261846,0.0,0.0
2024-03-27 13:30:00-04:00,150.6999969482422,150.99000549316406,150.56500244140625,150.91000366210938,1025722,0.0,0.0
2024-03-27 14:30:00-04:00,150.9199981689453,151.10000610351562,150.60000610351562,151.05990600585938,1042644,0.0,0.0
2024-03-27 15:30:00-04:00,151.05999755859375,151.9600067138672,150.97999572753906,151.9499969482422,2337105,0.0,0.0
2024-03-27 16:00:00-04:00,151.96,152.15,151.93,152.0,0,0.0,0.0
2024-03-27 17:00:00-04:00,151.99,152.05,145.2165,151.945,0,0.0,0.0
2024-03-27 18:00:00-04:00,151.9,152.0,151.55,151.65,0,0.0,0.0
2024-03-27 19:00:00-04:00,151.7,151.75,151.56,151.69,0,0.0,0.0
