Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-02-27 04:00:00-05:00,181.16,181.16,180.6,181.14,0,0.0,0.0
2024-02-27 05:00:00-05:00,181.14,181.16,180.94,181.01,0,0.0,0.0
2024-02-27 06:00:00-05:00,181.01,181.03,180.75,180.89,0,0.0,0.0
2024-02-27 07:00:00-05:00,180.89,181.03,180.79,181.0,0,0.0,0.0
2024-02-27 08:00:00-05:00,181.02,181.25,180.7972,180.94,0,0.0,0.0
2024-02-27 09:00:00-05:00,180.95,181.16,180.85,180.98,0,0.0,0.0
2024-02-27 09:30:00-05:00,181.33999633789062,181.6699981689453,180.3000030517578,181.1699981689453,8245225,0.0,0.0
2024-02-27 10:30:00-05:00,181.16009521484375,181.27000427246094,180.75999450683594,180.86279296875,3681857,0.0,0.0
2024-02-27 11:30:00-05:00,180.86000061035156,181.01010131835938,180.5500030517578,180.69000244140625,2764462,0.0,0.0
2024-02-27 12:30:00-05:00,180.68499755859375,180.7899932861328,180.04010009765625,180.06539916992188,3614103,0.0,0.0
2024-02-27 13:30:00-05:00,180.07000732421875,182.60000610351562,179.55999755859375,182.60000610351562,10154303,0.0,0.0
2024-02-27 14:30:00-05:00,182.597900390625,183.92250061035156,182.17999267578125,182.60499572753906,12441282,0.0,0.0
2024-02-27 15:30:00-05:00,182.60000610351562,182.75,182.27999877929688,182.6300048828125,6563443,0.0,0.0
2024-02-27 16:00:00-05:00,182.6,195.69847,176.48889,182.91,0,0.0,0.0
2024-02-27 17:00:00-05:00,182.89,183.14,182.63,183.065,0,0.0,0.0
2024-02-27 18:00:00-05:00,183.06,183.19,182.8,182.86,0,0.0,0.0
